adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,fr,5.109329,87,17 Girls,5.6,103,2011,4.141459,0.201607
FALSE,en,6.430591,164,Boyhood,7.5,2008,2014,4,44.349
FALSE,en,7.576924,105,Think Like a Man Too,6.3,229,2014,24,70.181428
FALSE,en,6.447072,134,Jersey Boys,6.8,257,2014,40,67.347013
FALSE,en,18.495599,165,Transformers: Age of Extinction,5.8,3136,2014,210,1091.405097
FALSE,en,7.579855,83,Planes: Fire & Rescue,5.8,286,2014,50,151.165787
FALSE,en,1.840891,94,Mrs. Brown's Boys D'Movie,4.7,34,2014,5.9,23
FALSE,en,7.359522,97,Tammy,5,508,2014,20,100.525432
FALSE,en,8.832788,93,The Babadook,6.5,1890,2014,2,6.676471
FALSE,hu,6.313465,121,White God,6.6,105,2014,2.2,0.282358
FALSE,en,64.29999,105,Whiplash,8.3,4376,2014,3.3,13.092
FALSE,en,154.801009,145,Gone Girl,7.9,6023,2014,61,369.330363
FALSE,en,75.385211,130,Dawn of the Planet of the Apes,7.3,4511,2014,170,710.644566
FALSE,en,7.202832,86,No One Lives,5.5,173,2013,2.9,0.074918
FALSE,en,7.69684,94,And So It Goes,5.7,166,2014,18,25.312387
FALSE,en,27.470696,97,Sex Tape,5.2,1733,2014,40,126.069509
FALSE,en,27.756026,104,The Purge: Anarchy,6.6,2008,2014,9,108.782847
FALSE,en,53.291601,121,Guardians of the Galaxy,7.9,10014,2014,170,773.328629
FALSE,en,8.536786,95,The Signal,5.8,639,2014,4,0.600896
FALSE,en,14.753545,127,The Expendables 3,6.1,1830,2014,90,206.172544
FALSE,en,19.606895,99,Hercules,5.6,1707,2014,100,243.4
FALSE,en,10.432407,121,A Most Wanted Man,6.5,545,2014,15,31.554855
FALSE,en,6.149295,120,Wish I Was Here,6.4,304,2014,5.5,5.483299
FALSE,en,12.412221,89,Earth to Echo,5.7,294,2014,13,45.3
FALSE,en,8.588926,112,Step Up All In,6.7,649,2014,45,86.165646
FALSE,en,5.486893,90,Life After Beth,5,235,2014,2.4,0.088273
FALSE,en,6.561373,103,The Rover,6.1,295,2014,12.25,2.295423
FALSE,en,6.626077,97,Magic in the Moonlight,6.5,749,2014,16.8,51.029361
FALSE,en,14.466789,122,The Hundred-Foot Journey,7.3,516,2014,22,88.880821
FALSE,en,21.463465,124,Jupiter Ascending,5.2,2816,2015,176.000003,183.987723
FALSE,en,22.337973,101,Teenage Mutant Ninja Turtles,5.8,2677,2014,125,477.2
FALSE,en,12.472206,94,The Giver,6.4,1859,2014,25,66.980456
FALSE,en,15.962793,104,Let's Be Cops,6.4,1234,2014,17,136.621271
FALSE,en,5.350658,99,The Sacrament,5.6,139,2013,4,0.009221
FALSE,en,6.792607,110,Make Your Move,6.2,30,2013,0.000015,0.000122
FALSE,en,20.623642,102,Sin City: A Dame to Kill For,6.3,1314,2014,65,39.407616
FALSE,en,9.659244,106,If I Stay,7.3,1415,2014,11,78.874843
FALSE,fr,6.868022,95,"Two Days, One Night",6.8,327,2014,7,6.860853
